BATCH_ID,TASK_MSTR_ID,FILE_MSTR_ID,DB_MSTR_ID,TASK_TYPE,SRC_OBJ_NM,TGT_OBJ_NM,SRC_READ_CNT,TGT_WRITE_CNT,TGT_REJECT_COUNT,REC_INSERT_DTTM
20240502125450,2,-1,2,DB_INGESTION,LND_VYNDAMAX,STG_VYNDAMAX,42880,42880,0,2024-05-02 12:55:51.254
20240502125450,1,11,-1,FILE_INGESTION,01312024_Bosulif_TRx_Data.xlsx,LND_BOSULIF_TRX_DATA,5149,5149,0,2024-05-02 12:55:42.517
20240502125450,1,12,-1,FILE_INGESTION,01312024_Bosulif_NPS_Data.xlsx,LND_BOSULIF_NPS_DATA,2503,2503,0,2024-05-02 12:55:40.299
20240502125450,1,10,-1,FILE_INGESTION,02062024_Talzenna_NPS_Data.xlsx,LND_TALZENNA_NPS_DATA,263,263,0,2024-05-02 12:55:03.894
20240502125450,1,9,-1,FILE_INGESTION,02062024_Talzenna_TRx_Data.xlsx.xlsx,LND_TALZENNA_TRX_DATA,294,294,0,2024-05-02 12:55:03.363
20240502105955,2,-1,11,DB_INGESTION,LND_TALZENNA_NPS_DATA,STG_TALZENNA_NPS_DATA,263,6312,-6049,2024-05-02 11:01:16.850
20240502105955,1,10,-1,FILE_INGESTION,02062024_Talzenna_NPS_Data.xlsx,LND_TALZENNA_NPS_DATA,263,263,0,2024-05-02 11:00:08.848
20240502105955,1,9,-1,FILE_INGESTION,02062024_Talzenna_TRx_Data.xlsx.xlsx,LND_TALZENNA_TRX_DATA,294,294,0,2024-05-02 11:00:09.276
20240502105955,1,11,-1,FILE_INGESTION,01312024_Bosulif_TRx_Data.xlsx,LND_BOSULIF_TRX_DATA,5149,5149,0,2024-05-02 11:00:46.973
20240502105955,1,12,-1,FILE_INGESTION,01312024_Bosulif_NPS_Data.xlsx,LND_BOSULIF_NPS_DATA,2503,2503,0,2024-05-02 11:00:47.822
20240502105955,2,-1,2,DB_INGESTION,LND_VYNDAMAX,STG_VYNDAMAX,42880,42880,0,2024-05-02 11:00:57.082
20240502105955,2,-1,10,DB_INGESTION,LND_TALZENNA_TRX_DATA,STG_TALZENNA_TRX_DATA,294,7056,-6762,2024-05-02 11:01:06.040
20240502105955,2,-1,12,DB_INGESTION,LND_BOSULIF_TRX_DATA,STG_BOSULIF_TRX_DATA,5149,123576,-118427,2024-05-02 11:01:29.245
